ID_Number,Name,Country,Sex,Title,WTitle,Other_Titles,Rating,Games,K_factor,Age_Birthday,Activity,date
8201609,,SUR,M,,,,1673,0,20,0000,,2016-07-01
5700230,"A B, Muhammad Yusop",MAS,M,,,,1528,0,20,0000,,2016-07-01
10207538,"A E M, Doshtagir",BAN,M,,,,1860,0,20,1974,i,2016-07-01
4804929,"A-ALI,Sali Abbas Abdulzahra",IRQ,F,WFM,WFM,,1744,0,20,2001,w,2016-07-01
10202650,"A.k. Azad, Akand",BAN,M,,,,1731,0,20,0000,i,2016-07-01
11201177,"A.lateef, Ahmad",BRN,M,,,,1897,0,20,0000,i,2016-07-01
11202483,"A.lateef, Ahmed Ahmed",BRN,M,,,,1293,0,20,1996,,2016-07-01
12524670,"Aadeli, Arvin",IRI,M,,,,1961,0,20,1994,,2016-07-01
25088955,Aadit Bhatia,IND,M,,,,1498,0,20,2002,,2016-07-01
46660879,Aaditya Hari Krishnan,IND,M,,,,1336,0,20,2007,,2016-07-01
5027942,"Aaditya, Jagadeesh",IND,M,,,,1814,0,20,1998,i,2016-07-01
35082558,Aadrito Datta,IND,M,,,,1289,0,20,2004,,2016-07-01
1427024,"Aagaard, Gert",DEN,M,,,,2039,0,20,1966,i,2016-07-01
1401815,"Aagaard, Jacob",DEN,M,GM,,,2509,0,20,1973,i,2016-07-01
1406248,"Aage, Bjarke",DEN,M,,,,2119,0,20,1978,i,2016-07-01
1506064,"Aagedal, Geir Ole",NOR,M,,,,1733,0,20,1957,i,2016-07-01
25021044,"Aagney L., Narasimhan",IND,M,,,,1279,0,20,2000,i,2016-07-01
25014510,Aakanksha Hagawane,IND,F,,,,1973,0,20,2000,wi,2016-07-01
45024952,Aakash G,IND,M,,,,1351,0,20,1995,i,2016-07-01
25030388,Aakash Jain,IND,M,,,,1562,0,20,1998,i,2016-07-01
45032220,Aakash Poddar,IND,M,,,,1199,0,20,2005,,2016-07-01
25033220,"Aakash Sharadchandra, Dalvi",IND,M,,,,1440,0,20,2002,i,2016-07-01
1518828,"Aalmo, Alexander",NOR,M,,,,1415,9,20,1974,,2016-07-01
501956,"Aaltio, Erkki",FIN,M,,,,2068,0,20,1935,i,2016-07-01
510726,"Aalto, Patrik",FIN,M,,,,1659,0,20,2004,,2016-07-01
35029185,Aan Sikka,IND,M,,,,1466,0,20,2003,,2016-07-01
5077702,Aaniq Kamani,IND,M,,,,1621,0,20,1995,i,2016-07-01
25024981,Aansh Gupta,IND,M,,,,1739,0,20,2002,,2016-07-01
35041487,Aarfeen Himany,IND,M,,,,1599,0,20,1974,i,2016-07-01
1500660,"Aarnes, Carl Christian",NOR,M,,,,1857,0,20,1975,,2016-07-01
1509179,"Aarsheim, Geir-Arne",NOR,M,,,,1614,0,20,1985,,2016-07-01
1505300,"Aarstad, Tron",NOR,M,,,,1784,12,20,1974,,2016-07-01
5059100,Aarthi G,IND,F,,,,1833,0,20,1997,wi,2016-07-01
1504738,"Aartun, Eivind",NOR,M,,,,1806,0,20,1996,,2016-07-01
1504711,"Aartun, Magnus",NOR,M,,,,1819,0,20,1993,i,2016-07-01
45077959,Aarush Gupta,IND,M,,,,1231,0,20,2004,,2016-07-01
45091366,Aarush Saxena,IND,F,,,,1275,0,20,2008,w,2016-07-01
46621415,Aarushi Prashanth,IND,F,,,,1218,0,20,2003,wi,2016-07-01
46647350,Aaryansh Bhartiya,IND,M,,,,1345,0,20,2004,,2016-07-01
1514539,"Aas, Rune Oistein",NOR,M,,,,1983,0,20,1988,i,2016-07-01
35001302,Aasa Deepika Kuditipudi,IND,F,,,,1464,0,20,1997,wi,2016-07-01
5086990,Aasha C R,IND,F,,,,1515,0,20,1997,wi,2016-07-01
1530933,"Aavik, Jakob",NOR,M,,,,1771,0,20,1995,,2016-07-01
1533959,"Aavik, Sebastian Tomter",NOR,M,,,,1792,0,20,1995,,2016-07-01
35029070,Aayush Bhattacherjee,IND,M,,,,1132,0,20,2007,,2016-07-01
46682201,Aayush Chadha,IND,M,,,,1203,0,20,1998,,2016-07-01
8101043,"Ababneh, Ghayth",JOR,M,,,,2106,0,20,1982,i,2016-07-01
34130354,"Abaev, Zaindi",RUS,M,,,,1927,0,20,1956,,2016-07-01
5216320,"Abaigar, Michael",PHI,M,,,,1898,0,20,1976,i,2016-07-01
34175889,"Abakarova, Amina",RUS,F,,,,1869,0,20,1984,w,2016-07-01
13616609,"Abakelia, Gocha",GEO,M,,,,1500,0,20,1971,,2016-07-01
22217975,"Abal Cores, Lucas",ESP,M,FM,,,2130,0,20,1997,i,2016-07-01
3511553,"Abalos Leon, Yesel",CUB,M,,,,2145,0,20,1983,,2016-07-01
24134171,"Abanin, Vladimir",RUS,M,,,,1774,0,20,1948,,2016-07-01
3409414,"Abarca Gonzalez, Damaris",CHI,F,WFM,WFM,FA,2076,0,20,1990,wi,2016-07-01
3409422,"Abarca Gonzalez, Nicolas",CHI,M,,,,2330,16,20,1993,,2016-07-01
34167509,"Abarinov, Alexey",RUS,M,,,,2014,0,20,1982,,2016-07-01
24242411,"Abarinov, Alexey",RUS,M,,,,1582,0,20,1985,,2016-07-01
4185099,"Abarovskiy, Andrey",RUS,M,,,,2069,0,20,1987,i,2016-07-01
3410404,"Abarza Alarcon, Oscar",CHI,M,,,,1886,0,20,1990,,2016-07-01
44153848,"Abasheeva, Ksenia",RUS,F,,,,1829,0,20,2000,w,2016-07-01
34142468,"Abashkin, Aleksandr P.",RUS,M,,,,1907,0,20,1959,,2016-07-01
12539260,"Abasi, Amir Salar",IRI,M,,,,1729,0,20,2000,i,2016-07-01
5207169,"Abasolo, Krizza Lyn",PHI,F,,,,1873,0,20,1991,w,2016-07-01
13402960,"Abasov, Nijat",AZE,M,GM,,,2464,0,20,1995,,2016-07-01
3307573,"Abasto Chavez, Dorian Quintin",BOL,M,,,,1803,0,20,1997,,2016-07-01
13420470,"Abaszada, Suada",AZE,F,,,,1174,0,20,2009,w,2016-07-01
3902854,"Abatantuono, Giuseppe",VEN,M,,,,2084,0,20,1955,,2016-07-01
101605,"Abate, Tomas",ARG,M,,,,1692,0,20,1996,i,2016-07-01
44105576,"Abaturin, Egor",RUS,M,,,,1680,0,20,2000,,2016-07-01
4205707,"Abatzidis, Stelios",CYP,M,,,,2005,12,20,1961,,2016-07-01
4206517,"Abatzis, Antonios",GRE,M,,,,1898,0,20,1993,i,2016-07-01
6372260,"Abay, Muhammet Omer",TUR,M,,,,1575,0,20,1994,,2016-07-01
24229032,"Abazov, Zalim",RUS,M,,,,1620,0,20,1987,,2016-07-01
14104865,"Abbakumov, Yehor",UKR,M,,,,1945,0,20,1989,,2016-07-01
4804937,Abbas Hussein kzar,IRQ,M,CM,,,1712,0,20,1997,,2016-07-01
4806778,"Abbas, Abdul Zahra Abbas",IRQ,M,,,FA,1641,0,20,1962,i,2016-07-01
10602950,"Abbas, Ahmed",EGY,M,,,,1914,8,20,1983,,2016-07-01
10630465,"Abbas, Essam",EGY,M,,,,1708,0,20,1967,i,2016-07-01
5303729,"Abbas, Khalil",LIB,M,,,,1884,0,20,0000,,2016-07-01
10621490,"Abbas, Tarek",EGY,M,,,,1932,0,20,1979,i,2016-07-01
22540687,"Abbasi, Danial",IRI,M,,,,1751,20,20,2002,,2016-07-01
12508594,"Abbasi, Hossein",IRI,M,,,,1863,0,20,1986,i,2016-07-01
12505170,"Abbasi, Meisam",IRI,M,,,,2011,28,20,1983,,2016-07-01
22543090,"Abbasi, Mohammad Mehdi",IRI,M,,,,1717,7,20,2004,,2016-07-01
13417487,"Abbasov, Azad",AZE,M,,,,1603,7,20,2005,,2016-07-01
13405233,"Abbasov, Mehman",AZE,M,,,,1818,0,20,1970,i,2016-07-01
13401777,"Abbasov, Vusal",AZE,M,,,,2074,9,20,1987,,2016-07-01
13405225,"Abbasov, Zaur",AZE,M,,,,1915,0,20,1999,i,2016-07-01
13410300,"Abbasova, Aynur",AZE,F,,,,1412,0,20,1999,wi,2016-07-01
13410059,"Abbasova, Sadagat",AZE,F,,,,1610,9,20,2003,w,2016-07-01
12587516,"Abbaspoorrad, Nikoo",IRI,M,,,,1437,0,20,2005,,2016-07-01
4808452,"Abbass Wanass, Fadhel",IRQ,M,,,,1845,0,20,1958,i,2016-07-01
4808460,"Abbass, Heatham",IRQ,M,,,,1629,0,20,1970,i,2016-07-01
2805460,"Abbate, Giovanni",ITA,M,,,,1656,0,20,1963,,2016-07-01
225525,"Abbeloos, Philippe",BEL,M,,,,1602,0,20,1968,,2016-07-01
5500222,"Abbes, Ali",TUN,M,CM,,FI,2075,0,20,1973,i,2016-07-01
641120,"Abbey, Anate",FRA,M,,,,1575,0,20,1956,i,2016-07-01
5730783,"Abbil, Almando",MAS,M,,,,1462,0,20,1978,,2016-07-01
3208494,"Abbott, Peter",AUS,M,CM,,,1988,0,20,1955,i,2016-07-01
12201359,Abd alhafeez Mohamed Ahmed,SUD,M,,,,1580,0,20,1970,,2016-07-01
10600752,"Abd El Fatah, Reda Fadel",EGY,M,,,,2099,0,20,1957,,2016-07-01
812625,"Abd El Gawad, Shaban",ITA,M,,,,2040,0,20,1953,,2016-07-01
10628029,"Abd Elsalam, Mohamed",EGY,M,,,,1715,0,20,1980,,2016-07-01
3424634,"Abdala Cancino, Patricia Anastas",CHI,F,,,,1334,0,20,2006,w,2016-07-01
