ID_Number,Name,Country,Sex,Title,WTitle,Other_Titles,Rating,Games,K_factor,Age_Birthday,Activity,date
10207538,"A E M, Doshtagir",BAN,M,,,,1836,0,20,1974,,2015-07-01
5716365,"A Hamid, Harman",MAS,M,,,,1593,0,20,0000,,2015-07-01
5716373,"A Rajah, Abdul Shukor",MAS,M,,,,1996,0,20,0000,i,2015-07-01
10201971,"A.f.m., Mahfuzul Haque",BAN,M,,,,1748,0,20,0000,i,2015-07-01
10202650,"A.k. Azad, Akand",BAN,M,,,,1683,0,20,0000,,2015-07-01
11202483,"A.lateef, Ahmed Ahmed",BRN,M,,,,1282,0,20,1996,,2015-07-01
1513966,"Aabid, Ryaad",NOR,M,,,,1713,0,20,1958,,2015-07-01
12524670,"Aadeli, Arvin",IRI,M,,,,1997,0,20,1994,,2015-07-01
46660879,Aaditya Hari Krishnan,IND,M,,,,1653,0,20,2007,,2015-07-01
5027942,"Aaditya, Jagadeesh",IND,M,,,,1800,0,20,1998,i,2015-07-01
1401815,"Aagaard, Jacob",DEN,M,GM,,,2502,0,20,1973,i,2015-07-01
1506064,"Aagedal, Geir Ole",NOR,M,,,,1799,0,20,1957,,2015-07-01
25021044,"Aagney L., Narasimhan",IND,M,,,,1275,0,20,2000,i,2015-07-01
25014510,Aakanksha Hagawane,IND,F,,,,1709,5,20,2000,w,2015-07-01
25033220,"Aakash Sharadchandra, Dalvi",IND,M,,,,1633,0,20,2002,,2015-07-01
1402315,"Aalbaek, Kurt Frede Nissen",DEN,M,,,,1465,0,20,1944,i,2015-07-01
1518828,"Aalmo, Alexander",NOR,M,,,,1712,0,20,1974,,2015-07-01
501956,"Aaltio, Erkki",FIN,M,,,,2093,0,20,1935,i,2015-07-01
35029185,Aan Sikka,IND,M,,,,1400,0,20,2003,i,2015-07-01
1509020,"Aanonsen, Per Tore",NOR,M,,,,1748,0,20,1938,i,2015-07-01
25024981,Aansh Gupta,IND,M,,,,1682,0,20,2002,i,2015-07-01
35041487,Aarfeen Himany,IND,M,,,,1473,0,20,1974,,2015-07-01
1500660,"Aarnes, Carl Christian",NOR,M,,,,1848,0,20,1975,,2015-07-01
1505300,"Aarstad, Tron",NOR,M,,,,1915,0,20,1974,,2015-07-01
5059100,Aarthi G,IND,F,,,,1780,0,20,1997,wi,2015-07-01
1504738,"Aartun, Eivind",NOR,M,,,,1817,0,20,1996,,2015-07-01
1500678,"Aas, Henrik",NOR,M,,,,1811,0,20,1960,,2015-07-01
35001302,Aasa Deepika Kuditipudi,IND,F,,,,1517,0,20,1997,wi,2015-07-01
5086990,Aasha.C R.,IND,F,,,,1506,0,20,1997,w,2015-07-01
46682201,Aayush Chadha,IND,M,,,,1297,0,20,1998,,2015-07-01
8101043,"Ababneh, Ghayth",JOR,M,,,,2027,3,20,1982,,2015-07-01
22297081,"Abad Flores, Miguel",ESP,M,,,,1777,0,20,1984,,2015-07-01
12595080,"Abadi, Ali",IRI,M,,,,1111,0,20,2009,,2015-07-01
4801628,"Abaeji, Sinan Younus Abdulrazzaq",IRQ,M,CM,,,2249,0,20,1971,i,2015-07-01
34130354,"Abaev, Zaindi",RUS,M,,,,1955,11,20,1956,,2015-07-01
14106680,"Abakarov, Alexander",UKR,M,,,,2153,0,20,1972,i,2015-07-01
34175889,"Abakarova, Amina",RUS,F,,,,1941,10,20,1984,w,2015-07-01
22217975,"Abal Cores, Lucas",ESP,M,FM,,,2101,0,20,1997,,2015-07-01
2260689,"Abalde Fernandez, Esteban",ESP,M,,,,1929,0,20,1977,,2015-07-01
22284605,"Abalia Patino, Aritz",ESP,M,,,,1777,0,20,1997,i,2015-07-01
22217983,"Abalos San Jose, Belen",ESP,F,,,,1526,0,20,1968,w,2015-07-01
24134171,"Abanin, Vladimir",RUS,M,,,,1818,0,20,1948,,2015-07-01
5219639,"Abano, Gary",PHI,M,,,,2058,3,20,1974,,2015-07-01
3409414,"Abarca Gonzalez, Damaris",CHI,F,WFM,WFM,,2002,0,20,1990,w,2015-07-01
3409422,"Abarca Gonzalez, Nicolas",CHI,M,,,,2250,0,20,1993,,2015-07-01
6702147,"Abarca, Xavier",ESA,M,,,,1839,0,20,0000,i,2015-07-01
4185099,"Abarovskiy, Andrey",RUS,M,,,,2091,0,20,1987,i,2015-07-01
44153848,"Abasheeva, Ksenia",RUS,F,,,,1845,8,20,2000,w,2015-07-01
3307573,"Abasto Chavez, Dorian Quintin",BOL,M,,,,1864,0,20,1997,,2015-07-01
3902854,"Abatantuono, Giuseppe",VEN,M,,,,2094,0,20,1955,i,2015-07-01
4205707,"Abatzidis, Stelios",CYP,M,,,,1969,0,20,1961,i,2015-07-01
4206517,"Abatzis, Antonios",GRE,M,,,,1905,0,20,1993,,2015-07-01
32009046,"Abaurrea San Juan, Xabier",ESP,M,,,,1585,7,20,1962,,2015-07-01
22509739,"Abbaci, Mohsen",IRI,M,,,,1577,0,20,1975,,2015-07-01
14104865,"Abbakumov, Yehor",UKR,M,,,,1975,0,20,1989,,2015-07-01
12201626,Abbas Babiker,SUD,M,,,,1832,0,20,1967,,2015-07-01
4804937,Abbas Hussein kzar,IRQ,M,CM,,,1853,0,20,1997,,2015-07-01
10602950,"Abbas, Ahmed",EGY,M,,,,1875,0,20,1983,,2015-07-01
10621490,"Abbas, Tarek",EGY,M,,,,1969,0,20,1979,,2015-07-01
12505170,"Abbasi, Meisam",IRI,M,,,,1956,0,20,1983,,2015-07-01
12509868,"Abbasi, Omid",IRI,M,,,,1818,0,20,0000,,2015-07-01
12543675,"Abbasi, Parnian",IRI,F,WFM,WFM,,1713,0,20,2002,wi,2015-07-01
12501000,"Abbasifar, Hasan",IRI,M,GM,,,2429,0,20,1972,,2015-07-01
13405233,"Abbasov, Mehman",AZE,M,,,,1858,0,20,1970,i,2015-07-01
12587516,"Abbaspoorrad, Nikoo",IRI,M,,,,1349,5,20,2005,,2015-07-01
2805460,"Abbate, Giovanni",ITA,M,,,,1719,0,20,1963,i,2015-07-01
