ID_Number,Name,Country,Sex,Title,WTitle,Other_Titles,Rating,Games,K_factor,Age_Birthday,Activity,date
10207538,"A E M, Doshtagir",BAN,M,,,,1869,0,20,0000,,2014-06-01
5716373,"A Rajah, Abdul Shukor",MAS,M,,,,1996,0,20,0000,,2014-06-01
10201971,"A.f.m., Mahfuzul Haque",BAN,M,,,,1748,0,20,0000,i,2014-06-01
5027942,"Aaditya, Jagadeesh",IND,M,,,,1800,0,20,1998,i,2014-06-01
1401815,"Aagaard, Jacob",DEN,M,GM,,,2502,0,20,1973,,2014-06-01
1506064,"Aagedal, Geir Ole",NOR,M,,,,1804,7,20,1957,,2014-06-01
25021044,"Aagney L., Narasimhan",IND,M,,,,1275,0,20,2000,i,2014-06-01
25014510,Aakanksha Hagawane,IND,F,,,,1675,0,20,2000,w,2014-06-01
1402315,"Aalbaek, Kurt Frede Nissen",DEN,M,,,,1465,0,20,1944,i,2014-06-01
501956,"Aaltio, Erkki",FIN,M,,,,2093,0,20,1935,i,2014-06-01
35029185,Aan Sikka,IND,M,,,,1400,0,20,2003,i,2014-06-01
1509020,"Aanonsen, Per Tore",NOR,M,,,,1748,0,20,1938,,2014-06-01
25024981,Aansh Gupta,IND,M,,,,1682,0,20,2002,i,2014-06-01
1500660,"Aarnes, Carl Christian",NOR,M,,,,1798,5,20,1975,,2014-06-01
5059100,Aarthi G,IND,F,,,,1780,0,20,1997,wi,2014-06-01
35001302,Aasa Deepika Kuditipudi,IND,F,,,,1517,0,20,1997,w,2014-06-01
5086990,Aasha.C R.,IND,F,,,,1512,0,20,1997,wi,2014-06-01
8101043,"Ababneh, Ghayth",JOR,M,,,,2016,11,20,1982,,2014-06-01
22297081,"Abad Flores, Miguel",ESP,M,,,,1800,0,20,1984,i,2014-06-01
4801628,"Abaeji, Sinan Younus Abdulrazzaq",IRQ,M,CM,,,2249,0,20,1971,,2014-06-01
34130354,"Abaev, Zaindi",RUS,M,,,,2068,7,20,1956,,2014-06-01
14106680,"Abakarov, Alexander",UKR,M,,,,2153,0,20,1972,,2014-06-01
22217975,"Abal Cores, Lucas",ESP,M,,,,2098,0,20,1997,,2014-06-01
22284605,"Abalia Patino, Aritz",ESP,M,,,,1777,0,20,1997,,2014-06-01
24134171,"Abanin, Vladimir",RUS,M,,,,1842,0,20,1948,,2014-06-01
3409414,"Abarca Gonzalez, Damaris",CHI,F,WFM,WFM,,2019,0,20,1990,wi,2014-06-01
3409422,"Abarca Gonzalez, Nicolas",CHI,M,,,,2226,0,20,1993,,2014-06-01
6702147,"Abarca, Xavier",ESA,M,,,,1839,0,20,0000,,2014-06-01
4185099,"Abarovskiy, Andrey",RUS,M,,,,2091,0,20,1987,,2014-06-01
44153848,"Abasheeva, Ksenia",RUS,F,,,,1767,9,20,2000,w,2014-06-01
